"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence","route_no 1","route_no 2","route_no 3","route_no 4","route_no 5","route_no 6","display Code 1","display Code 2"
"904","1","TSL","430","天水圍","Tin Shui Wai","29.00","751P","996","","","","","751P",""
"905","1","FEP","1","屯門碼頭","Tuen Mun Ferry Pier","1.00","905","506P","506P*","","","","506P",""
"905","1","MEG","10","美樂","Melody Garden","2.00","905","506P","506P*","","","","506P",""
"905","1","BUT","15","蝴蝶","Butterfly","3.00","905","506P","506P*","","","","506P",""
"905","1","LRD","20","輕鐵車廠","Light Rail Depot","4.00","905","506P","506P*","","","","506P",""
"905","1","LUM","30","龍門","Lung Mun","5.00","905","506P","506P*","","","","506P",""
"905","1","TSS","40","青山村","Tsing Shan Tsuen","6.00","905","506P","506P*","","","","506P",""
"905","1","TWN","50","青雲","Tsing Wun","7.00","905","506P","506P*","","","","506P",""
"905","1","KIO","60","建安","Kin On","8.00","905","506P","506P*","","","","506P",""
"905","1","TML","295","屯門","Tuen Mun","9.00","905","506P","506P*","","","","506P",""
"905","1","PUT","300","杯渡","Pui To","10.00","905","506P","506P*","","","","506P",""
"905","1","HFT","310","何福堂","Hoh Fuk Tong","11.00","905","506P","506P*","","","","506P",""
"905","1","SAH","320","新墟","San Hui","12.00","905","506P","506P*","","","","506P",""
"905","1","PRV","330","景峰","Prime View","13.00","905","506P","506P*","","","","506P",""
"905","1","FUT","340","鳳地","Fung Tei","14.00","905","506P","506P*","","","","506P",""
"905","1","SHL","100","兆康","Siu Hong","15.00","905","506P","506P*","","","","506P",""
