"Line Code","Direction","Stop Code","Stop ID","Chinese Name","English Name","Sequence"
"902","1","TYA","550","天逸","Tin Yat",1.00
"902","1","TFU","480","天富","Tin Fu",2.00
"902","1","CHF","468","頌富","Chung Fu",3.00
"902","1","CHE","490","翠湖","Chestwood",4.00
"902","1","TWI","500","天榮","Tin Wing",5.00
"902","1","GIN","455","銀座","Ginza",6.00
"902","1","TWU","450","天湖","Tin Wu",7.00
"902","1","TIT","435","天慈","Tin Tsz",8.00
"902","1","TSL","430","天水圍","Tin Shui Wai",9.00
"902","1","HMT","425","坑尾村","Hang Mei Tsuen",10.00
"902","1","HSK","380","洪水橋","Hung Shui Kiu",11.00
"902","1","CUT","370","鍾屋村","Chung Uk Tsuen",12.00
"902","1","NAW","360","泥圍","Nai Wai",13.00
"902","1","LTE","350","藍地","Lam Tei",14.00
"902","1","SHL","100","兆康","Siu Hong",15.00
"902","1","CHC","120","青松","Ching Chung",16.00
"902","1","KIS","130","建生","Kin Sang",17.00
"902","1","TNK","140","田景","Tin King",18.00
"902","1","LEK","150","良景","Leung King",19.00
"902","1","SAW","160","新圍","San Wai",20.00
"902","1","THN","212","大興(北)","Tai Hing (North)",21.00
"902","1","THS","220","大興(南)","Tai Hing (South)",22.00
"902","1","NGW","230","銀圍","Ngan Wai",23.00
"902","1","CYB","075","蔡意橋","Choy Yee Bridge",24.00
"902","1","HOT","070","河田","Ho Tin",25.00
"902","1","TML","295","屯門","Tuen Mun",26.00
"902","1","TOC","280","市中心","Town Centre",27.00
"902","1","ONT","270","安定","On Ting",28.00
"902","1","SIL","265","兆麟","Siu Lun",29.00
"902","1","GOG","260","豐景園","Goodview Garden",30.00
"902","1","TSP","250","海皇路","Hoi Wong Road",31.00
"902","1","SHE","240","兆禧","Siu Hei",32.00
"902","1","FEP","001","屯門碼頭","Tuen Mun Ferry Pier",33.00
